Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7, C8",0805,4,2.2uF,
"C3, C4, C5, C6",0805,4,0.1uF,
D1,LED_D5.0mm,1,LED,
FB1,0805,1,600,
J1,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x12_Socket,
J2,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x12_Pin,
"J3, J4, J7",JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,3,Conn_01x08_Socket,
J5,JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,1,Conn_01x08_Pin,
LS1,SpeakerConnections,1,Speaker,
"MOUSE-BITE-2MM-SLOT, MOUSE-BITE-2MM-SLOT1, MOUSE-BITE-2MM-SLOT2, MOUSE-BITE-2MM-SLOT3, MOUSE-BITE-2MM-SLOT4, MOUSE-BITE-2MM-SLOT5, MOUSE-BITE-2MM-SLOT6, MOUSE-BITE-2MM-SLOT7, MOUSE-BITE-2MM-SLOT8",mouse-bite-2mm-slot,9,VAL**,
"R1, R2, R4",0805,3,4.7k,
"R10, R5, R6, R7, R8",0805,5,8.2k,
"R3, R9",0805,2,100,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPST,
"SW2, SW3, SW4",SW_PUSH_6mm,3,SW_Push,
U1,Teensy41,1,Teensy4.1,
U2,bq25185 5V Boost Breakout,1,Adafruit bq25185,
U3,AudioB,1,AudioB I2S V3,
U4,TPA22016D2new,1,Adafruit TPA2016D2,
U5,SOT-23,1,MCP1700x-180xxTT,
U6,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,SGTL5000XNLA3,
"U7, U8",I2S SPK0415HM4H,2,I2S MEMS Mic SPH0645,
